Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,18.299999,18.740000,17.799999,18.680000,18.680000,7693400
2020-08-17,18.730000,18.799999,17.250000,17.549999,17.549999,8064300
2020-08-18,17.920000,18.190001,17.549999,18.139999,18.139999,6336000
2020-08-19,18.049999,18.330000,17.650000,17.750000,17.750000,5236800
2020-08-20,17.200001,17.830000,16.959999,17.700001,17.700001,8989500
2020-08-21,17.700001,18.410000,17.389999,17.709999,17.709999,9596500
2020-08-24,17.900000,18.520000,17.690001,18.340000,18.340000,9589700
2020-08-25,18.559999,18.690001,17.750000,18.090000,18.090000,7998600
2020-08-26,17.980000,18.150000,17.360001,17.549999,17.549999,6328300
2020-08-27,17.700001,18.400000,17.549999,18.299999,18.299999,13184600
2020-08-28,18.299999,19.000000,17.980000,18.980000,18.980000,11242200
2020-08-31,18.549999,19.150000,17.889999,17.889999,17.889999,11180400
2020-09-01,18.410000,19.030001,18.240000,18.820000,18.820000,12889100
2020-09-02,18.920000,19.219999,18.490000,18.860001,18.860001,6481100
2020-09-03,18.760000,19.670000,18.700001,19.270000,19.270000,10899000
2020-09-04,19.400000,20.000000,19.049999,19.980000,19.980000,9253500
2020-09-08,19.510000,21.020000,19.209999,20.389999,20.389999,14739700
2020-09-09,20.879999,21.150000,19.510000,19.840000,19.840000,11413400
2020-09-10,19.840000,21.030001,19.770000,20.250000,20.250000,14647100
2020-09-11,20.530001,20.900000,19.530001,19.760000,19.760000,10592000
2020-09-14,20.299999,21.299999,19.969999,21.200001,21.200001,13641300
2020-09-15,21.450001,21.969999,20.820000,20.860001,20.860001,10490000
2020-09-16,20.950001,21.910000,20.719999,21.570000,21.570000,11385200
2020-09-17,21.290001,21.760000,20.840000,21.110001,21.110001,10825400
2020-09-18,21.070000,21.280001,19.879999,20.100000,20.100000,13846900
2020-09-21,19.490000,19.639999,18.340000,18.400000,18.400000,17146100
2020-09-22,18.600000,18.809999,17.940001,18.180000,18.180000,12239700
2020-09-23,18.320000,18.549999,17.799999,17.860001,17.860001,10819900
2020-09-24,17.809999,18.190001,17.400000,17.940001,17.940001,10305700
2020-09-25,17.809999,18.049999,17.469999,17.840000,17.840000,7225600
2020-09-28,18.240000,18.690001,17.370001,17.469999,17.469999,10580800
2020-09-29,17.520000,17.620001,16.299999,16.469999,16.469999,11797000
2020-09-30,16.510000,17.379999,16.450001,17.080000,17.080000,10595300
2020-10-01,17.700001,18.160000,17.350000,17.900000,17.900000,11659100
2020-10-02,17.580000,17.870001,17.209999,17.389999,17.389999,7573100
2020-10-05,17.639999,17.850000,17.320000,17.660000,17.660000,6387900
2020-10-06,17.860001,19.559999,17.840000,18.950001,18.950001,24069400
2020-10-07,19.299999,19.420000,18.139999,18.299999,18.299999,12055300
2020-10-08,18.440001,18.709999,18.219999,18.510000,18.510000,6761000
2020-10-09,18.559999,19.770000,18.410000,19.110001,19.110001,13978900
2020-10-13,19.370001,19.530001,18.629999,19.160000,19.160000,8423100
2020-10-14,19.200001,20.120001,19.129999,19.620001,19.620001,10243900
2020-10-15,19.000000,19.770000,18.840000,19.530001,19.530001,7060000
2020-10-16,19.559999,19.750000,18.969999,19.049999,19.049999,7072200
2020-10-19,19.150000,20.480000,19.150000,19.910000,19.910000,15575500
2020-10-20,20.080000,20.280001,19.459999,19.719999,19.719999,10252700
2020-10-21,19.780001,19.950001,19.280001,19.410000,19.410000,7651800
2020-10-22,19.500000,19.770000,19.379999,19.600000,19.600000,7131200
2020-10-23,19.629999,20.059999,19.480000,19.670000,19.670000,5084100
2020-10-26,19.350000,19.459999,18.730000,18.959999,18.959999,8358700
2020-10-27,18.940001,19.200001,18.500000,18.600000,18.600000,7380000
2020-10-28,17.900000,18.049999,16.820000,16.920000,16.920000,13334800
2020-10-29,16.700001,17.010000,15.400000,16.610001,16.610001,19411300
2020-10-30,16.450001,16.600000,15.540000,15.690000,15.690000,12767700
2020-11-03,16.469999,16.520000,15.380000,15.620000,15.620000,10657500
2020-11-04,15.820000,16.170000,15.350000,15.870000,15.870000,11685900
2020-11-05,16.250000,17.540001,15.940000,17.440001,17.440001,16168600
2020-11-06,17.120001,17.750000,16.600000,17.549999,17.549999,13320900
2020-11-09,20.100000,21.430000,19.549999,21.049999,21.049999,43680500
2020-11-10,20.709999,22.120001,20.450001,20.780001,20.780001,20635800
2020-11-11,20.790001,21.190001,19.660000,20.260000,20.260000,12337100
2020-11-12,19.950001,20.820000,18.879999,19.059999,19.059999,13564100
2020-11-13,19.340000,19.980000,19.110001,19.559999,19.559999,6874900
2020-11-16,20.500000,21.780001,19.950001,21.219999,21.219999,18755100
2020-11-17,20.969999,21.660000,20.520000,21.280001,21.280001,11988200
2020-11-18,21.490000,23.379999,21.490000,21.940001,21.940001,24831200
2020-11-19,22.049999,23.150000,21.330000,23.020000,23.020000,17341900
2020-11-23,22.700001,23.260000,22.400000,22.709999,22.709999,11993000
2020-11-24,23.049999,23.590000,22.570000,23.469999,23.469999,12193000
2020-11-25,23.350000,23.730000,23.030001,23.559999,23.559999,8517300
2020-11-26,23.440001,23.660000,22.820000,23.240000,23.240000,11452500
2020-11-27,23.309999,23.610001,22.850000,22.959999,22.959999,7620400
2020-11-30,22.900000,24.770000,22.860001,23.520000,23.520000,18679900
2020-12-01,24.379999,24.600000,23.510000,23.870001,23.870001,12504200
2020-12-02,24.000000,25.410000,23.700001,25.150000,25.150000,13026600
2020-12-03,25.600000,27.830000,25.530001,27.360001,27.360001,17039100
2020-12-04,28.129999,28.610001,26.660000,27.049999,27.049999,13061000
2020-12-07,27.610001,28.809999,27.500000,27.940001,27.940001,16701700
2020-12-08,28.049999,29.030001,27.540001,27.690001,27.690001,11716700
2020-12-09,28.180000,28.500000,26.889999,27.309999,27.309999,8850100
2020-12-10,27.320000,27.750000,26.440001,27.309999,27.309999,7964500
2020-12-11,26.780001,27.559999,26.600000,27.049999,27.049999,8041100
2020-12-14,27.530001,27.639999,26.280001,26.480000,26.480000,7416000
2020-12-15,26.480000,27.190001,26.110001,27.010000,27.010000,8438800
2020-12-16,27.299999,27.360001,26.320000,26.680000,26.680000,6847700
2020-12-17,26.700001,26.980000,26.070000,26.209999,26.209999,6599000
2020-12-18,26.219999,26.440001,25.020000,25.150000,25.150000,9087400
2020-12-21,22.969999,24.520000,22.820000,23.950001,23.950001,12945600
2020-12-22,24.170000,24.290001,22.860001,23.299999,23.299999,9226400
2020-12-23,23.430000,24.969999,23.330000,24.540001,24.540001,12870100
2020-12-28,25.240000,25.299999,24.120001,24.250000,24.250000,6782500
2020-12-29,24.400000,24.980000,24.150000,24.480000,24.480000,5420900
2020-12-30,24.580000,25.469999,24.450001,24.940001,24.940001,7274100
2021-01-04,25.209999,25.370001,23.629999,23.959999,23.959999,9646000
2021-01-05,23.780001,24.360001,23.350000,23.950001,23.950001,7493300
2021-01-06,23.780001,24.260000,23.070000,23.219999,23.219999,7861400
2021-01-07,23.320000,24.049999,23.150000,23.400000,23.400000,6249400
2021-01-08,23.750000,24.049999,23.219999,23.510000,23.510000,6121800
2021-01-11,23.190001,23.870001,23.090000,23.360001,23.360001,6619400
2021-01-12,23.610001,24.430000,23.309999,24.280001,24.280001,7713200
2021-01-13,24.270000,24.400000,23.049999,23.160000,23.160000,8616500
2021-01-14,23.360001,24.500000,23.360001,24.200001,24.200001,11561000
2021-01-15,23.750000,24.139999,23.240000,23.549999,23.549999,7255600
2021-01-18,24.010000,24.940001,23.580000,23.790001,23.790001,8911200
2021-01-19,24.090000,24.280001,23.030001,23.240000,23.240000,6863200
2021-01-20,23.459999,23.700001,22.530001,23.230000,23.230000,6392100
2021-01-21,23.129999,23.250000,22.410000,22.760000,22.760000,5807400
2021-01-22,22.040001,23.120001,21.719999,22.950001,22.950001,6524200
2021-01-26,22.820000,23.040001,22.059999,22.209999,22.209999,6414700
2021-01-27,22.110001,23.450001,22.049999,23.030001,23.030001,8780000
2021-01-28,23.299999,25.760000,23.299999,24.610001,24.610001,24592800
