Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,4.016786,4.018200,4.016300,4.016786,4.016786,0
2020-01-02,4.016300,4.038700,4.000820,4.016300,4.016300,0
2020-01-03,4.023700,4.067005,4.021125,4.023400,4.023400,0
2020-01-06,4.057000,4.066200,4.044942,4.057000,4.057000,0
2020-01-07,4.060500,4.090600,4.043024,4.060400,4.060400,0
2020-01-08,4.066200,4.076400,4.044100,4.066200,4.066200,0
2020-01-09,4.062800,4.084700,4.037521,4.062800,4.062800,0
2020-01-10,4.092200,4.092500,4.061031,4.092100,4.092100,0
2020-01-13,4.090400,4.138800,4.088028,4.070500,4.070500,0
2020-01-14,4.145900,4.157500,4.126050,4.145800,4.145800,0
2020-01-15,4.131300,4.181900,4.110200,4.131300,4.131300,0
2020-01-16,4.174400,4.190500,4.159400,4.174200,4.174200,0
2020-01-17,4.183700,4.188700,4.171507,4.183600,4.183600,0
2020-01-20,4.161600,4.186200,4.157400,4.161600,4.161600,0
2020-01-21,4.188700,4.205200,4.166776,4.188500,4.188500,0
2020-01-22,4.210900,4.211300,4.179400,4.210900,4.210900,0
2020-01-23,4.181400,4.187800,4.155600,4.181300,4.181300,0
2020-01-24,4.168800,4.187600,4.147400,4.169100,4.169100,0
2020-01-27,4.159500,4.229700,4.159500,4.159500,4.159500,0
2020-01-28,4.206100,4.215700,4.186900,4.206100,4.206100,0
2020-01-29,4.193300,4.221100,4.181700,4.193400,4.193400,0
2020-01-30,4.228800,4.269200,4.226698,4.228900,4.228900,0
2020-01-31,4.242200,4.284200,4.240011,4.242200,4.242200,0
2020-02-03,4.282600,4.282600,4.228579,4.282600,4.282600,0
2020-02-04,4.246500,4.247500,4.223200,4.246800,4.246800,0
2020-02-05,4.253900,4.258600,4.223810,4.253700,4.253700,0
2020-02-06,4.233600,4.270900,4.207225,4.233600,4.233600,0
2020-02-07,4.280900,4.322100,4.277200,4.280800,4.280800,0
2020-02-10,4.320400,4.325500,4.304380,4.320400,4.320400,0
2020-02-11,4.323200,4.335500,4.296500,4.320975,4.320975,0
2020-02-12,4.327531,4.347300,4.323500,4.327531,4.327531,0
2020-02-13,4.354600,4.380100,4.309545,4.354500,4.354500,0
2020-02-14,4.346647,4.348900,4.300500,4.346767,4.346767,0
2020-02-17,4.297000,4.323700,4.294353,4.297000,4.297000,0
2020-02-18,4.326600,4.353900,4.321498,4.326500,4.326500,0
2020-02-19,4.354900,4.375400,4.352478,4.354800,4.354800,0
2020-02-20,4.364400,4.395600,4.329676,4.364000,4.364000,0
2020-02-21,4.390741,4.403200,4.371100,4.392300,4.392300,0
2020-02-24,4.389800,4.399500,4.365236,4.389800,4.389800,0
2020-02-25,4.386800,4.388700,4.366822,4.386600,4.386600,0
2020-02-26,4.386800,4.432200,4.350477,4.386800,4.386800,0
2020-02-27,4.449500,4.497900,4.446161,4.449100,4.449100,0
2020-02-28,4.482665,4.512300,4.461548,4.484800,4.484800,0
2020-03-02,4.441300,4.502600,4.441300,4.441300,4.441300,0
2020-03-03,4.472500,4.507100,4.448661,4.472400,4.472400,0
2020-03-04,4.513200,4.555800,4.501889,4.513200,4.513200,0
2020-03-05,4.583400,4.653300,4.580981,4.583400,4.583400,0
2020-03-06,4.604031,4.669100,4.602803,4.606200,4.606200,0
2020-03-09,4.625500,4.788900,4.621180,4.589800,4.589800,0
2020-03-10,4.723000,4.724900,4.655200,4.722900,4.722900,0
2020-03-11,4.642500,4.683100,4.615200,4.642100,4.642100,0
2020-03-12,4.813400,5.015700,4.810665,4.813800,4.813800,0
2020-03-13,4.790400,4.791400,4.648300,4.790200,4.790200,0
2020-03-16,4.852600,4.988126,4.852600,4.852600,4.852600,0
2020-03-17,4.999400,5.077800,4.996051,4.999000,4.999000,0
2020-03-18,5.009900,5.198900,4.983500,5.009700,5.009700,0
2020-03-19,5.103829,5.210500,5.102208,5.103962,5.103962,0
2020-03-20,5.094800,5.097000,4.990200,5.094200,5.094200,0
2020-03-23,5.045500,5.133200,5.006000,5.045500,5.045500,0
2020-03-24,5.141700,5.142900,5.038800,5.141700,5.141700,0
2020-03-25,5.098600,5.103210,5.051000,5.098100,5.098100,0
2020-03-26,5.031478,5.060156,4.973900,5.033700,5.033700,0
2020-03-27,5.021800,5.116200,4.981573,5.022600,5.022600,0
2020-03-30,5.100300,5.175600,5.077654,5.104629,5.104629,0
2020-03-31,5.190701,5.204000,5.166500,5.192700,5.192700,0
2020-04-01,5.203900,5.248900,5.198390,5.203500,5.203500,0
2020-04-02,5.248000,5.275900,5.220800,5.248200,5.248200,0
2020-04-03,5.255000,5.320600,5.252046,5.255300,5.255300,0
